"CROSSTAB TITLE : Wind Turbine Likeness Demographics"
"STUDY NAME : Spring 2013 NHCS Adult Study 06-month"
"STUDY TYPE : Population"
"START FIELD DATE : 11/06/2012"
"END FIELD DATE : 06/04/2013"
"DATE EXECUTED : 10/16/2016"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"PORTABLE GENERATOR",,"WOOD-BURNING STOVE/HEATER",,"WOOD-BURNING FIREPLACE INSERT",
"$100,000 OR MORE","Sample",3661.0,,606.0,,255.0,,268.0,
"$100,000 OR MORE","Weighted",65834.02,,12975.29,,6184.23,,4188.22,
"$100,000 OR MORE","Vertical %",28.61%,,42.14%,,35.44%,,37.96%,
"$100,000 OR MORE","Horizontal %",100.00%,,19.71%,,9.39%,,6.36%,
"$100,000 OR MORE","Index",100.0,,147.0,,124.0,,133.0,
"$100,000 OR MORE","Total %",28.61%,,5.64%,,2.69%,,1.82%,
"10 ACRES OR MORE","Sample",260.0,,89.0,,79.0,,24.0,**
"10 ACRES OR MORE","Weighted",7037.31,,2311.55,,1831.65,,1017.19,**
"10 ACRES OR MORE","Vertical %",3.06%,,7.51%,,10.50%,,9.22%,**
"10 ACRES OR MORE","Horizontal %",100.00%,,32.85%,,26.03%,,14.45%,**
"10 ACRES OR MORE","Index",100.0,,245.0,,343.0,,301.0,**
"10 ACRES OR MORE","Total %",3.06%,,1.00%,,.80%,,.44%,**
"6 TO LESS THAN 10 ACRES","Sample",133.0,,69.0,,31.0,*,8.0,**
"6 TO LESS THAN 10 ACRES","Weighted",2998.99,,1953.37,,1096.10,*,209.54,**
"6 TO LESS THAN 10 ACRES","Vertical %",1.30%,,6.34%,,6.28%,*,1.90%,**
"6 TO LESS THAN 10 ACRES","Horizontal %",100.00%,,65.13%,,36.55%,*,6.99%,**
"6 TO LESS THAN 10 ACRES","Index",100.0,,487.0,,482.0,*,146.0,**
"6 TO LESS THAN 10 ACRES","Total %",1.30%,,.85%,,.48%,*,.09%,**
"4 TO LESS THAN 6 ACRES","Sample",186.0,,43.0,*,44.0,*,15.0,**
"4 TO LESS THAN 6 ACRES","Weighted",4422.35,,1126.50,*,1064.66,*,542.44,**
"4 TO LESS THAN 6 ACRES","Vertical %",1.92%,,3.66%,*,6.10%,*,4.92%,**
"4 TO LESS THAN 6 ACRES","Horizontal %",100.00%,,25.47%,*,24.07%,*,12.27%,**
"4 TO LESS THAN 6 ACRES","Index",100.0,,190.0,*,318.0,*,256.0,**
"4 TO LESS THAN 6 ACRES","Total %",1.92%,,.49%,*,.46%,*,.24%,**
"2 TO LESS THAN 4 ACRES","Sample",393.0,,120.0,,66.0,,45.0,*
"2 TO LESS THAN 4 ACRES","Weighted",8361.58,,2752.34,,1490.02,,671.88,*
"2 TO LESS THAN 4 ACRES","Vertical %",3.63%,,8.94%,,8.54%,,6.09%,*
"2 TO LESS THAN 4 ACRES","Horizontal %",100.00%,,32.92%,,17.82%,,8.04%,*
"2 TO LESS THAN 4 ACRES","Index",100.0,,246.0,,235.0,,168.0,*
"2 TO LESS THAN 4 ACRES","Total %",3.63%,,1.20%,,.65%,,.29%,*
"1/4 TO LESS THAN 2 ACRES","Sample",2545.0,,515.0,,201.0,,193.0,
"1/4 TO LESS THAN 2 ACRES","Weighted",51001.80,,9585.38,,4379.74,,3282.70,
"1/4 TO LESS THAN 2 ACRES","Vertical %",22.16%,,31.13%,,25.10%,,29.75%,
"1/4 TO LESS THAN 2 ACRES","Horizontal %",100.00%,,18.79%,,8.59%,,6.44%,
"1/4 TO LESS THAN 2 ACRES","Index",100.0,,140.0,,113.0,,134.0,
"1/4 TO LESS THAN 2 ACRES","Total %",22.16%,,4.17%,,1.90%,,1.43%,
"LESS THAN 1/4 ACRE","Sample",2082.0,,238.0,,82.0,,122.0,
"LESS THAN 1/4 ACRE","Weighted",40655.38,,5077.01,,1852.02,,2029.03,
"LESS THAN 1/4 ACRE","Vertical %",17.67%,,16.49%,,10.61%,,18.39%,
"LESS THAN 1/4 ACRE","Horizontal %",100.00%,,12.49%,,4.56%,,4.99%,
"LESS THAN 1/4 ACRE","Index",100.0,,93.0,,60.0,,104.0,
"LESS THAN 1/4 ACRE","Total %",17.67%,,2.21%,,.80%,,.88%,
Copyright: 2016 Simmons Research LLC. All rights reserved.
